year,country,min_temp,max_temp,min_prec,max_prec
2025,Japan,-6.92,30.97,1512.86,2057.91
2025,Jersey (U.K.),1.48,23.07,870.96,1194.22
2025,Jordan,-0.56,41.06,45.8,111.61
2025,Kazakhstan,-27.3,38.1,276.64,433.8
2025,Kenya,17.76,35.52,581.7,981.36
2025,Kiribati,24.57,29.16,574.38,2376.51
2025,Kosovo,-12.32,34.44,645.92,990.37
2025,Kuwait,3.59,48.85,55.93,230.88
2025,Kyrgyz Republic,-25.39,23.78,741.78,1090.05
2025,Lao People's Democratic Republic,8.84,35.23,1660.44,2325.2
2025,Latvia,-17.34,30.11,652.2,910.65
2025,Lebanon,-2.37,33.69,396.38,699.58
2025,Lesotho,-8.2,29.27,928.86,1249.17
2025,Liberia,19.52,33.58,2057.0,2650.49
2025,Libya,2.37,43.76,11.47,37.55
2025,Liechtenstein,-17.0,27.91,1684.51,2237.17
2025,Lithuania,-17.02,31.04,655.63,915.1
2025,Luxembourg,-8.93,32.05,787.7,1076.27
2025,"Macau, SAR",7.35,33.07,1479.32,2220.68
2025,Madagascar,12.18,33.37,1141.1,1658.07
2025,Malawi,12.14,34.04,1144.05,1553.47
2025,Malaysia,20.41,33.12,2463.46,3290.68
2025,Maldives,24.91,29.95,1534.54,2274.07
2025,Mali,10.51,45.14,233.72,394.35
2025,Malta,10.34,29.64,287.59,577.69
2025,Marshall Islands,25.13,29.32,1968.68,3013.36
2025,Mauritania,9.47,46.02,41.29,137.43
2025,Mauritius,17.83,29.0,778.83,1300.05
2025,Mexico,4.23,36.57,641.48,987.27
2025,Moldova,-14.29,35.16,492.43,787.41
2025,Monaco,1.98,27.96,628.34,1037.01
2025,Mongolia,-32.28,33.23,229.83,358.11
2025,Montenegro,-11.18,31.04,1259.43,1982.54
2025,Montserrat (U.K.),23.46,29.13,606.86,1029.9
2025,Morocco,1.79,39.51,188.53,404.88
2025,Mozambique,12.77,37.59,686.53,1050.87
2025,Myanmar,9.99,36.6,2042.48,2793.32
2025,Namibia,3.8,37.7,219.81,410.79
2025,Nauru,25.18,29.69,750.81,3441.27
2025,Nepal,-6.08,27.71,1715.86,2639.52
2025,Netherlands,-6.08,30.25,717.2,984.92
2025,New Caledonia (Fr.),13.84,29.88,984.85,1975.2
2025,New Zealand,-1.95,23.39,1356.24,1792.58
